doy,plot,rep,treatment,planting,row,herbicide,tillage,test,c1,c2,c3,cavg
143,407,4,16,late,30,no,no,NL,0,0,0,0
143,408,4,6,early,30,yes,no,NEY,0.01,0.03,0,0.01
143,409,4,11,late,15,no,yes,TL,0.01,0,0,0
143,410,4,1,early,15,yes,yes,TE,0,0,0,0
143,411,4,2,early,15,yes,no,NEY,0,0,0,0
143,412,4,12,late,15,no,no,NL,0,0,0,0
143,413,4,7,early,30,no,yes,TE,0.03,0.02,0.02,0.02
143,414,4,13,late,30,yes,yes,TL,0,0,0,0
143,415,4,14,late,30,yes,no,NL,0,0,0,0
143,416,4,10,late,15,yes,no,NL,0,0,0,0
151,101,1,1,early,15,yes,yes,TE,2.3,2.2,2.1,2.2
151,102,1,2,early,15,yes,no,NEY,1.93,2.2,2.15,2.09
151,103,1,3,early,15,no,yes,TE,3.86,2.45,2.75,3.02
151,104,1,4,early,15,no,no,NE,1.17,1.09,1.28,1.18
151,105,1,5,early,30,yes,yes,TE,1.49,1.99,1.16,1.55
151,106,1,6,early,30,yes,no,NEY,2.02,1.84,1.48,1.78
151,107,1,7,early,30,no,yes,TE,2.91,2.52,3.39,2.94
151,108,1,8,early,30,no,no,NE,2,1.53,1.33,1.62
151,109,1,9,late,15,yes,yes,TL,0,0,0,0
151,110,1,10,late,15,yes,no,NL,0,0,0,0
151,111,1,11,late,15,no,yes,TL,0,0,0,0
151,112,1,12,late,15,no,no,NL,0,0,0,0
151,113,1,13,late,30,yes,yes,TL,0,0,0,0
151,114,1,14,late,30,yes,no,NL,0,0,0,0
151,115,1,15,late,30,no,yes,TL,0,0,0,0
151,116,1,16,late,30,no,no,NL,0,0,0,0
151,201,2,11,late,15,no,yes,TL,0,0,0,0
151,202,2,7,early,30,no,yes,TE,2.14,1.02,2.48,1.88
151,203,2,12,late,15,no,no,NL,0,0,0,0
151,204,2,16,late,30,no,no,NL,0,0,0,0
151,205,2,15,late,30,no,yes,TL,0,0,0,0
151,206,2,8,early,30,no,no,NE,1.44,1.26,2.51,1.74
151,207,2,2,early,15,yes,no,NEY,0.9,0.93,0.81,0.88
151,208,2,9,late,15,yes,yes,TL,0,0,0,0
151,209,2,3,early,15,no,yes,TE,1.21,1.65,1.39,1.42
151,210,2,13,late,30,yes,yes,TL,0,0,0,0
151,211,2,10,late,15,yes,no,NL,0,0,0,0
151,212,2,14,late,30,yes,no,NL,0,0,0,0
151,213,2,1,early,15,yes,yes,TE,0.89,1.02,1.14,1.02
151,214,2,6,early,30,yes,no,NEY,1.02,1.02,0.99,1.01
151,215,2,5,early,30,yes,yes,TE,1.49,1.08,1.61,1.39
151,216,2,4,early,15,no,no,NE,0.91,0.92,1.33,1.05
151,301,3,16,late,30,no,no,NL,0,0,0,0
151,302,3,7,early,30,no,yes,TE,3.36,2.9,3.7,3.32
151,303,3,11,late,15,no,yes,TL,0,0,0,0
151,304,3,5,early,30,yes,yes,TE,2.02,1.78,2.07,1.96
151,305,3,2,early,15,yes,no,NEY,0.6,0.66,0.87,0.71
151,306,3,6,early,30,yes,no,NEY,1.18,2.04,4.54,2.59
151,307,3,8,early,30,no,no,NE,0,0,0,0
151,308,3,4,early,15,no,no,NE,0,0,0,0
151,309,3,10,late,15,yes,no,NL,0,0,0,0
151,310,3,1,early,15,yes,yes,TE,2.48,2.34,2.3,2.37
151,311,3,14,late,30,yes,no,NL,0,0,0,0
151,312,3,3,early,15,no,yes,TE,4.11,4.78,4.62,4.5
151,313,3,15,late,30,no,yes,TL,0,0,0,0
151,314,3,12,late,15,no,no,NL,0,0,0,0
151,315,3,9,late,15,yes,yes,TL,0,0,0,0
151,316,3,13,late,30,yes,yes,TL,0,0,0,0
151,401,4,8,early,30,no,no,NE,1.37,1.36,0.95,1.23
151,402,4,3,early,15,no,yes,TE,1.99,1.41,2.55,1.98
151,403,4,5,early,30,yes,yes,TE,0.91,0.76,0.99,0.89
151,404,4,15,late,30,no,yes,TL,0,0,0,0
151,405,4,4,early,15,no,no,NE,0.86,0.94,0.54,0.78
151,406,4,9,late,15,yes,yes,TL,0,0,0,0
151,407,4,16,late,30,no,no,NL,0,0,0,0
151,408,4,6,early,30,yes,no,NEY,0.76,1.17,0.93,0.95
151,409,4,11,late,15,no,yes,TL,0,0,0,0
151,410,4,1,early,15,yes,yes,TE,1.35,1.24,1.36,1.32
151,411,4,2,early,15,yes,no,NEY,0.8,0.44,0.62,0.62
151,412,4,12,late,15,no,no,NL,0,0,0,0
151,413,4,7,early,30,no,yes,TE,1.52,1.94,1.56,1.67
151,414,4,13,late,30,yes,yes,TL,0,0,0,0
151,415,4,14,late,30,yes,no,NL,0,0,0,0
151,416,4,10,late,15,yes,no,NL,0,0,0,0
158,101,1,1,early,15,yes,yes,TE,4.46,3.9,3.99,4.12
